iso_st_mcg_org_loc_yr_hst_cult_rep,106-4(H),110-4(H),114-4(H),12-2(H),17-3(H),20-3(F),36-4(F),5-2(F),5-3(F),50-4(F),55-4(F),6-2(F),7-2(F),8-3(H),9-2(F),92-4(F)
152_3.9_4_NE__2003_GH,580,379,372,215,348,280,415,320,328,531,173,490,171,252,360,377
274_5.4_45_NE__2003_GH,588,379,359,215,348,280,415,320,328,531,173,490,172,252,360,375
443_6.3_5_NY__2003_GH,567,379,368,215,348,280,415,323,308,532,173,483,171,250,360,379
444_4.4_4_MN_wmn_2003_G122,580,379,372,215,348,280,415,320,328,532,173,490,172,252,360,377
445_4.7_4_MN_wmn_2003_Beryl,580,379,372,215,348,280,415,320,328,531,173,490,172,252,360,377
446_6.1_3_MI_wmn_2003_Beryl,567,385,359,215,348,280,415,322,339,531,164,483,172,252,360,379
447_5.5_5_MI_wmn_2003_Beryl,567,379,368,221,348,280,415,322,308,531,173,483,172,250,360,379
448_5_3_MI_wmn_2003_Beryl,568,385,360,215,348,280,414,323,339,531,165,483,172,250,360,379
449_5.2_3_MI_wmn_2003_Bunsi,568,386,368,215,348,280,415,322,339,532,165,484,172,250,360,379
450_5.3_5_MI_wmn_2003_Bunsi,568,379,368,215,348,280,415,322,308,531,173,484,172,250,362,379
451_5.6_16_MI_wmn_2003_Bunsi,589,379,372,215,348,280,415,320,328,531,169,490,170,252,360,377
452_6_5_MI_wmn_2003_G122,568,379,368,215,348,280,415,322,308,531,173,484,172,250,360,379
453_4.5_4_MI_wmn_2003_G122,589,379,372,215,348,280,415,320,328,531,173,490,172,252,360,376
454_4.4_16_MI_wmn_2003_G122,604,379,372,215,348,280,415,320,328,531,169,490,170,252,360,377
455_4.4_4_OR__2003_GH,604,379,372,221,348,280,415,320,328,532,173,490,172,252,360,377
456_4.1_2_WA__2003_GH,568,386,368,215,348,281,415,322,339,532,165,484,173,250,362,379
457_5.6_2_WA_wmn_2003_Beryl,568,386,368,221,348,280,415,323,339,532,165,485,172,250,362,380
458_4.5_54_WA_wmn_2003_Beryl,568,379,368,221,348,280,415,320,323,531,173,484,172,252,360,380
459_5_53_WA_wmn_2003_Beryl,548,386,355,221,348,280,415,320,323,531,165,490,170,252,360,376
460_4.5_55_WA_wmn_2003_Bunsi,580,371,355,221,348,282,415,320,339,532,204,490,170,250,360,376
461_4.9_56_WA_wmn_2003_Bunsi,581,379,372,221,348,280,415,320,328,531,173,490,171,252,360,378
462_4.6_57_WA_wmn_2003_Bunsi,548,371,355,221,348,280,415,320,308,531,173,490,170,250,360,376
463_5.2_5_WA_wmn_2003_G122,580,379,368,221,348,280,415,323,308,531,173,484,172,252,360,376
464_4.1_58_WA_wmn_2003_G122,576,379,368,221,348,280,415,322,296,532,173,490,170,250,360,375
465_3.6_53_WA_wmn_2003_G122,581,385,368,221,348,280,415,320,328,531,173,483,170,252,360,378
467_4.6_45_CO_wmn_2003_GH,572,379,372,221,348,280,415,320,328,532,173,483,171,250,360,375
469_4.3_10_OR_wmn_2003_Beryl,576,379,360,221,348,280,415,322,322,532,173,490,173,250,360,378
472_3.7_11_OR_wmn_2003_Bunsi,577,379,372,221,348,280,415,320,328,532,173,490,172,252,360,378
473_5.8_5_OR_wmn_2003_Bunsi,567,379,368,215,348,280,415,323,308,532,173,484,172,250,360,380
474_3.5_12_OR_wmn_2003_Bunsi,576,385,372,215,348,280,415,322,308,532,165,483,170,252,360,375
475_6.2_5_OR_corv_2003_G122,568,379,368,215,348,280,415,323,308,532,173,484,171,250,360,379
476_5.3_5_OR_wmn_2003_G122,568,379,368,215,348,280,415,323,308,532,173,484,171,252,360,380
477_4.2_10_OR_wmn_2003_G122,576,386,360,215,348,280,415,323,322,532,173,484,171,250,360,378
478_4.3_5_WI__2003_GH,568,379,368,215,348,280,415,323,308,532,173,484,170,252,360,380
479_4.5_5_WI_dfor_2003_GH,568,379,372,215,348,280,415,323,308,532,173,484,172,250,360,379
482_4.3_18_MI__2003_GH,548,386,372,215,348,280,415,322,339,550,165,484,170,250,360,380
483_5.3_13_ID__2003_GH,576,379,356,215,348,280,415,320,296,531,169,483,170,252,360,376
496_5.1_83_TS_wmn_2004_G122,572,385,359,215,348,280,415,323,308,532,173,483,171,250,360,375
499_5.6_85_TS_wmn_2004_ExRico,548,379,368,215,348,280,415,320,328,532,173,483,171,250,360,380
500_1.4_83_TS_wmn_2004_Beryl,576,375,367,215,348,280,415,318,339,532,155,494,171,250,360,376
501_3.3_84_TS_wmn_2004_Beryl,502,375,359,215,348,280,415,318,308,532,157,494,169,252,360,378
502_4.5_84_AU_vic_2004_Beryl,502,387,359,215,348,280,415,318,308,532,157,496,170,252,360,378
503_4.8_38_AU_vic _2004_Beryl,555,381,372,215,348,280,415,320,321,532,173,490,170,254,360,380
555_6.4_44_MN_wmn_2004_Bunsi,578,375,339,215,348,280,415,320,330,532,188,494,160,244,360,376
556_5.3_44_MN_wmn_2004_Bunsi,578,375,339,215,348,280,415,320,330,532,188,494,160,244,360,376
557_6.2_44_MN_wmn_2004_Bunsi,502,381,339,215,348,280,415,320,330,532,188,490,160,244,361,378
558_6.8_44_MN_wmn_2004_G122,576,375,367,215,348,280,415,318,339,532,155,494,171,250,360,376
559_5.7_44_MN_wmn_2004_G122,502,375,359,215,348,280,415,318,308,532,157,494,169,252,360,378
560_5.8_44_MN_wmn_2004_G122,502,387,359,215,348,280,415,318,308,532,157,496,170,252,360,378
561_7.3_44_MN_wmn_2004_Beryl,555,381,372,215,348,280,415,320,321,532,173,490,170,254,360,380
562_5.5_4_MN_wmn_2004_Beryl,578,375,339,215,348,280,415,320,330,532,188,494,160,244,360,376
563_6.1_44_MN_wmn_2004_Beryl,578,375,339,215,348,280,415,320,330,532,188,494,160,244,360,376
564_4.8_59_WA _wmn_2004_Beryl,502,381,339,215,348,280,415,320,330,532,188,490,160,244,361,378
565_4.8_4_WA_wmn_2004_Beryl,555,375,343,221,348,280,415,320,339,532,157,494,170,250,368,380
566_6.1_2_WA_wmn_2004_Bunsi,589,385,343,221,348,280,415,320,339,532,157,483,170,250,368,375
567_5_2_WA_wmn_2004_Bunsi,589,386,343,221,348,280,415,320,339,532,157,483,170,250,368,375
568_4.1_53_WA_wmn_2004_G122,594,375,339,221,348,280,417,320,330,532,216,494,160,244,360,375
569_5.3_4_WA_wmn_2004_G122,577,374,339,221,348,280,415,320,330,532,188,493,160,244,360,376
570_5.2_7_NE_wmn_2004_Bunsi,567,379,339,221,348,280,415,322,308,532,173,483,172,250,360,380
571_4.3_8_NE_wmn_2004_Bunsi,555,375,343,221,348,280,415,320,339,532,157,494,170,250,368,380
572_5.7_44_NE_wmn_2004_Bunsi,581,378,372,221,348,280,415,320,328,532,173,490,172,252,360,378
573_3.9_1_NE_wmn_2004_G122,567,379,368,221,348,280,415,322,339,532,165,483,172,250,362,380
574_4.2_1_NE_wmn_2004_G122,589,385,343,221,348,280,415,320,339,532,157,483,170,250,368,375
575_5.2_1_NE_wmn_2004_G122,589,386,343,221,348,280,415,320,339,532,157,483,170,250,368,375
576_4.1_1_NE_wmn_2004_Beryl,581,378,368,221,348,280,415,320,339,532,177,490,174,250,362,378
