MCG,MLG,Region
5,25,"ND (15), CO (2), MI (2)"
,163,MI (7)
,15,"ND (1), CO (1), WA (1), MI (1)"
,39,"WA (2), ND (1), CO (1)"
,9,"ND (2), MI (1)"
,42,"OR (2), NY (1)"
,140,MI (3)
,7,ND (1)
,12,MI (1)
,16,MI (1)
,20,MI (1)
,21,ND (1)
,22,CO (1)
,23,OR (1)
,24,OR (1)
,26,ND (1)
,29,MI (1)
,35,MI (1)
,36,WA (1)
,37,WI (1)
,43,WI (1)
,45,WA (1)
,46,OR (1)
,65,MI (1)
,72,WA (1)
,75,MI (1)
,76,MI (1)
,83,OR (1)
,88,MI (1)
,90,ND (1)
,106,CO (1)
,109,MI (1)
,127,WA (1)
,130,ND (1)
,138,MI (1)
,146,MI (1)
,153,MI (1)
44,65,NE (10)
,56,"NE (3), CO (1)"
,68,MN (3)
,78,ND (3)
,75,ND (2)
,2,MN (1)
,3,MN (1)
,4,MN (1)
,52,CO (1)
,63,NE (1)
,70,CO (1)
,71,CO (1)
,76,ND (1)
,123,MN (1)
,141,MN (1)
,145,MI (1)
,156,NE (1)
,160,NE (1)
,161,MI (1)
1,104,NE (4)
,103,NE (2)
,128,NE (2)
,7,NE (1)
,17,NE (1)
,25,NE (1)
,47,NE (1)
,107,France (1)
,134,NE (1)
,153,NE (1)
2,103,WA (2)
,8,WA (1)
,12,WA (1)
,17,OR (1)
,18,WA (1)
,38,WA (1)
,69,WA (1)
,120,WA (1)
,125,WA (1)
4,165,"MN (2), CO (1), MI (1), NE (1)"
,160,OR (2)
,5,OR (1)
,25,MI (1)
,57,CO (1)
,63,WA (1)
,68,MN (1)
,77,WA (1)
,154,ND (1)
